Pattern,Components,Score,PrimeProduct
Straight Flush to 6,"ranks=2,3,4,5,6",9,2310
Flush: 75432,"ranks=7,5,4,3,2",1599,2730
Flush: 85432,"ranks=8,5,4,3,2",1595,3570
Flush: 95432,"ranks=9,5,4,3,2",1581,3990
Flush: 76432,"ranks=7,6,4,3,2",1598,4290
Flush: T5432,"ranks=T,5,4,3,2",1547,4830
Flush: 86432,"ranks=8,6,4,3,2",1594,5610
Flush: 76532,"ranks=7,6,5,3,2",1597,6006
Flush: J5432,"ranks=J,5,4,3,2",1478,6090
Flush: 96432,"ranks=9,6,4,3,2",1580,6270
Flush: Q5432,"ranks=Q,5,4,3,2",1353,6510
Flush: 87432,"ranks=8,7,4,3,2",1590,6630
Flush: 97432,"ranks=9,7,4,3,2",1576,7410
Flush: T6432,"ranks=T,6,4,3,2",1546,7590
Flush: K5432,"ranks=K,5,4,3,2",1144,7770
Flush: 86532,"ranks=8,6,5,3,2",1593,7854
Straight Flush to 5,"ranks=A,2,3,4,5",10,8610
Flush: 96532,"ranks=9,6,5,3,2",1579,8778
Flush: T7432,"ranks=T,7,4,3,2",1542,8970
Flush: 87532,"ranks=8,7,5,3,2",1589,9282
Flush: J6432,"ranks=J,6,4,3,2",1477,9570
Flush: 98432,"ranks=9,8,4,3,2",1566,9690
Flush: 76542,"ranks=7,6,5,4,2",1596,10010
Flush: Q6432,"ranks=Q,6,4,3,2",1352,10230
Flush: 97532,"ranks=9,7,5,3,2",1575,10374
Flush: T6532,"ranks=T,6,5,3,2",1545,10626
Flush: J7432,"ranks=J,7,4,3,2",1473,11310
Flush: T8432,"ranks=T,8,4,3,2",1532,11730
Flush: Q7432,"ranks=Q,7,4,3,2",1348,12090
Flush: K6432,"ranks=K,6,4,3,2",1143,12210
Flush: T7532,"ranks=T,7,5,3,2",1541,12558
Flush: 86542,"ranks=8,6,5,4,2",1592,13090
Flush: T9432,"ranks=T,9,4,3,2",1512,13110
Flush: J6532,"ranks=J,6,5,3,2",1476,13398
Flush: A6432,"ranks=A,6,4,3,2",815,13530
Flush: 98532,"ranks=9,8,5,3,2",1565,13566
Flush: Q6532,"ranks=Q,6,5,3,2",1351,14322
Flush: K7432,"ranks=K,7,4,3,2",1139,14430
Flush: 87632,"ranks=8,7,6,3,2",1586,14586
Flush: 96542,"ranks=9,6,5,4,2",1578,14630
Flush: J8432,"ranks=J,8,4,3,2",1463,14790
Straight Flush to 7,"ranks=3,4,5,6,7",8,15015
Flush: 87542,"ranks=8,7,5,4,2",1588,15470
Flush: Q8432,"ranks=Q,8,4,3,2",1338,15810
Flush: J7532,"ranks=J,7,5,3,2",1472,15834
Flush: A7432,"ranks=A,7,4,3,2",811,15990
Flush: 97632,"ranks=9,7,6,3,2",1572,16302
Flush: T8532,"ranks=T,8,5,3,2",1531,16422
Flush: J9432,"ranks=J,9,4,3,2",1443,16530
Flush: Q7532,"ranks=Q,7,5,3,2",1347,16926
Flush: K6532,"ranks=K,6,5,3,2",1142,17094
Flush: 97542,"ranks=9,7,5,4,2",1574,17290
Flush: Q9432,"ranks=Q,9,4,3,2",1318,17670
Flush: T6542,"ranks=T,6,5,4,2",1544,17710
Flush: T9532,"ranks=T,9,5,3,2",1511,18354
Flush: K8432,"ranks=K,8,4,3,2",1129,18870
Flush: A6532,"ranks=A,6,5,3,2",814,18942
Flush: 86543,"ranks=8,6,5,4,3",1591,19635
Flush: T7632,"ranks=T,7,6,3,2",1538,19734
Flush: JT432,"ranks=J,T,4,3,2",1408,20010
Flush: K7532,"ranks=K,7,5,3,2",1138,20202
Flush: J8532,"ranks=J,8,5,3,2",1462,20706
Flush: A8432,"ranks=A,8,4,3,2",801,20910
Flush: T7542,"ranks=T,7,5,4,2",1540,20930
Flush: K9432,"ranks=K,9,4,3,2",1109,21090
Flush: 98632,"ranks=9,8,6,3,2",1562,21318
Flush: QT432,"ranks=Q,T,4,3,2",1283,21390
Flush: 96543,"ranks=9,6,5,4,3",1577,21945
Flush: Q8532,"ranks=Q,8,5,3,2",1337,22134
Flush: J6542,"ranks=J,6,5,4,2",1475,22330
Flush: A7532,"ranks=A,7,5,3,2",810,22386
Flush: 98542,"ranks=9,8,5,4,2",1564,22610
Flush: J9532,"ranks=J,9,5,3,2",1442,23142
Flush: 87543,"ranks=8,7,5,4,3",1587,23205
Flush: A9432,"ranks=A,9,4,3,2",781,23370
Flush: Q6542,"ranks=Q,6,5,4,2",1350,23870
Flush: 87642,"ranks=8,7,6,4,2",1585,24310
Flush: Q9532,"ranks=Q,9,5,3,2",1317,24738
Flush: J7632,"ranks=J,7,6,3,2",1469,24882
Flush: 98732,"ranks=9,8,7,3,2",1556,25194
Flush: KT432,"ranks=K,T,4,3,2",1074,25530
Flush: T8632,"ranks=T,8,6,3,2",1528,25806
Flush: 97543,"ranks=9,7,5,4,3",1573,25935
Flush: J7542,"ranks=J,7,5,4,2",1471,26390
Flush: K8532,"ranks=K,8,5,3,2",1128,26418
Flush: T6543,"ranks=T,6,5,4,3",1543,26565
Flush: Q7632,"ranks=Q,7,6,3,2",1344,26598
Flush: QJ432,"ranks=Q,J,4,3,2",1227,26970
Flush: 97642,"ranks=9,7,6,4,2",1571,27170
Flush: T8542,"ranks=T,8,5,4,2",1530,27370
Flush: JT532,"ranks=J,T,5,3,2",1407,28014
Flush: Q7542,"ranks=Q,7,5,4,2",1346,28210
Flush: AT432,"ranks=A,T,4,3,2",746,28290
Flush: K6542,"ranks=K,6,5,4,2",1141,28490
Flush: T9632,"ranks=T,9,6,3,2",1508,28842
Flush: A8532,"ranks=A,8,5,3,2",800,29274
Flush: K9532,"ranks=K,9,5,3,2",1108,29526
Flush: QT532,"ranks=Q,T,5,3,2",1282,29946
Flush: T8732,"ranks=T,8,7,3,2",1522,30498
Flush: T9542,"ranks=T,9,5,4,2",1510,30590
Flush: T7543,"ranks=T,7,5,4,3",1539,31395
Flush: A6542,"ranks=A,6,5,4,2",813,31570
Flush: K7632,"ranks=K,7,6,3,2",1135,31746
Flush: KJ432,"ranks=K,J,4,3,2",1018,32190
Flush: J8632,"ranks=J,8,6,3,2",1459,32538
Flush: A9532,"ranks=A,9,5,3,2",780,32718
Flush: T7642,"ranks=T,7,6,4,2",1537,32890
Flush: J6543,"ranks=J,6,5,4,3",1474,33495
Flush: K7542,"ranks=K,7,5,4,2",1137,33670
Flush: 98543,"ranks=9,8,5,4,3",1563,33915
Flush: 87652,"ranks=8,7,6,5,2",1583,34034
Flush: T9732,"ranks=T,9,7,3,2",1502,34086
Flush: KQ432,"ranks=K,Q,4,3,2",934,34410
Flush: J8542,"ranks=J,8,5,4,2",1461,34510
Flush: Q8632,"ranks=Q,8,6,3,2",1334,34782
Flush: A7632,"ranks=A,7,6,3,2",807,35178
Flush: 98642,"ranks=9,8,6,4,2",1561,35530
Flush: AJ432,"ranks=A,J,4,3,2",690,35670
Flush: KT532,"ranks=K,T,5,3,2",1073,35742
Flush: Q6543,"ranks=Q,6,5,4,3",1349,35805
Flush: J9632,"ranks=J,9,6,3,2",1439,36366
Flush: 87643,"ranks=8,7,6,4,3",1584,36465
Flush: Q8542,"ranks=Q,8,5,4,2",1336,36890
Flush: A7542,"ranks=A,7,5,4,2",809,37310
Flush: QJ532,"ranks=Q,J,5,3,2",1226,37758
Flush: 97652,"ranks=9,7,6,5,2",1569,38038
Flush: AQ432,"ranks=A,Q,4,3,2",606,38130
Flush: J8732,"ranks=J,8,7,3,2",1453,38454
Flush: J9542,"ranks=J,9,5,4,2",1441,38570
Flush: Q9632,"ranks=Q,9,6,3,2",1314,38874
Flush: J7543,"ranks=J,7,5,4,3",1470,39585
Flush: AT532,"ranks=A,T,5,3,2",745,39606
Flush: 97643,"ranks=9,7,6,4,3",1570,40755
Flush: T8543,"ranks=T,8,5,4,3",1529,41055
Flush: Q8732,"ranks=Q,8,7,3,2",1328,41106
Flush: Q9542,"ranks=Q,9,5,4,2",1316,41230
Flush: J7642,"ranks=J,7,6,4,2",1468,41470
Flush: K8632,"ranks=K,8,6,3,2",1125,41514
Flush: 98742,"ranks=9,8,7,4,2",1555,41990
Flush: Q7543,"ranks=Q,7,5,4,3",1345,42315
Flush: K6543,"ranks=K,6,5,4,3",1140,42735
Flush: J9732,"ranks=J,9,7,3,2",1433,42978
Flush: T8642,"ranks=T,8,6,4,2",1527,43010
Flush: JT632,"ranks=J,T,6,3,2",1404,44022
Flush: K8542,"ranks=K,8,5,4,2",1127,44030
Flush: Q7642,"ranks=Q,7,6,4,2",1343,44330
Flush: T9832,"ranks=T,9,8,3,2",1492,44574
Flush: KJ532,"ranks=K,J,5,3,2",1017,45066
Flush: AK432,"ranks=A,K,4,3,2",486,45510
Flush: T9543,"ranks=T,9,5,4,3",1509,45885
Flush: Q9732,"ranks=Q,9,7,3,2",1308,45942
Flush: A8632,"ranks=A,8,6,3,2",797,46002
Flush: T7652,"ranks=T,7,6,5,2",1535,46046
Flush: K9632,"ranks=K,9,6,3,2",1105,46398
Flush: JT542,"ranks=J,T,5,4,2",1406,46690
Flush: QT632,"ranks=Q,T,6,3,2",1279,47058
Flush: A6543,"ranks=A,6,5,4,3",812,47355
Flush: T9642,"ranks=T,9,6,4,2",1507,48070
Flush: KQ532,"ranks=K,Q,5,3,2",933,48174
Flush: A8542,"ranks=A,8,5,4,2",799,48790
Flush: K8732,"ranks=K,8,7,3,2",1119,49062
Flush: K9542,"ranks=K,9,5,4,2",1107,49210
Flush: T7643,"ranks=T,7,6,4,3",1536,49335
Flush: 98652,"ranks=9,8,6,5,2",1559,49742
Flush: QT542,"ranks=Q,T,5,4,2",1281,49910
Flush: AJ532,"ranks=A,J,5,3,2",689,49938
Flush: K7543,"ranks=K,7,5,4,3",1136,50505
Flush: T8742,"ranks=T,8,7,4,2",1521,50830
Flush: 87653,"ranks=8,7,6,5,3",1582,51051
Flush: A9632,"ranks=A,9,6,3,2",777,51414
Flush: J8543,"ranks=J,8,5,4,3",1460,51765
Flush: JT732,"ranks=J,T,7,3,2",1398,52026
Flush: K7642,"ranks=K,7,6,4,2",1134,52910
Flush: 98643,"ranks=9,8,6,4,3",1560,53295
Flush: AQ532,"ranks=A,Q,5,3,2",605,53382
Flush: J8642,"ranks=J,8,6,4,2",1458,54230
Flush: A8732,"ranks=A,8,7,3,2",791,54366
Flush: A9542,"ranks=A,9,5,4,2",779,54530
Flush: K9732,"ranks=K,9,7,3,2",1099,54834
Flush: Q8543,"ranks=Q,8,5,4,3",1335,55335
Flush: QT732,"ranks=Q,T,7,3,2",1273,55614
Flush: A7543,"ranks=A,7,5,4,3",808,55965
Flush: KT632,"ranks=K,T,6,3,2",1070,56166
Flush: J9832,"ranks=J,9,8,3,2",1423,56202
Flush: T9742,"ranks=T,9,7,4,2",1501,56810
Flush: 97653,"ranks=9,7,6,5,3",1568,57057
Flush: J9543,"ranks=J,9,5,4,3",1440,57855
Flush: Q8642,"ranks=Q,8,6,4,2",1333,57970
Flush: J7652,"ranks=J,7,6,5,2",1466,58058
Flush: A7642,"ranks=A,7,6,4,2",806,58630
Flush: 98752,"ranks=9,8,7,5,2",1553,58786
Flush: QJ632,"ranks=Q,J,6,3,2",1223,59334
Flush: KT542,"ranks=K,T,5,4,2",1072,59570
Flush: Q9832,"ranks=Q,9,8,3,2",1298,60078
Flush: T8652,"ranks=T,8,6,5,2",1525,60214
Flush: J9642,"ranks=J,9,6,4,2",1438,60610
Flush: A9732,"ranks=A,9,7,3,2",771,60762
Flush: Q9543,"ranks=Q,9,5,4,3",1315,61845
Flush: Q7652,"ranks=Q,7,6,5,2",1341,62062
Flush: J7643,"ranks=J,7,6,4,3",1467,62205
Flush: AT632,"ranks=A,T,6,3,2",742,62238
Flush: QJ542,"ranks=Q,J,5,4,2",1225,62930
Flush: 98743,"ranks=9,8,7,4,3",1554,62985
Flush: AK532,"ranks=A,K,5,3,2",485,63714
Flush: J8742,"ranks=J,8,7,4,2",1452,64090
Flush: T8643,"ranks=T,8,6,4,3",1526,64515
Flush: Q9642,"ranks=Q,9,6,4,2",1313,64790
Flush: AT542,"ranks=A,T,5,4,2",744,66010
Flush: K8543,"ranks=K,8,5,4,3",1126,66045
Flush: KT732,"ranks=K,T,7,3,2",1064,66378
Flush: Q7643,"ranks=Q,7,6,4,3",1342,66495
Flush: T9652,"ranks=T,9,6,5,2",1505,67298
Flush: JT832,"ranks=J,T,8,3,2",1388,68034
Flush: Q8742,"ranks=Q,8,7,4,2",1327,68510
Flush: T7653,"ranks=T,7,6,5,3",1534,69069
Flush: K8642,"ranks=K,8,6,4,2",1124,69190
Flush: JT543,"ranks=J,T,5,4,3",1405,70035
Flush: QJ732,"ranks=Q,J,7,3,2",1217,70122
Flush: KJ632,"ranks=K,J,6,3,2",1014,70818
Flush: T8752,"ranks=T,8,7,5,2",1519,71162
Flush: J9742,"ranks=J,9,7,4,2",1432,71630
Flush: K9832,"ranks=K,9,8,3,2",1089,71706
Flush: T9643,"ranks=T,9,6,4,3",1506,72105
Flush: QT832,"ranks=Q,T,8,3,2",1263,72726
Flush: A8543,"ranks=A,8,5,4,3",798,73185
Flush: JT642,"ranks=J,T,6,4,2",1403,73370
Flush: AT732,"ranks=A,T,7,3,2",736,73554
Flush: K9543,"ranks=K,9,5,4,3",1106,73815
Flush: K7652,"ranks=K,7,6,5,2",1132,74074
Flush: T9842,"ranks=T,9,8,4,2",1491,74290
Flush: 98653,"ranks=9,8,6,5,3",1558,74613
Flush: QT543,"ranks=Q,T,5,4,3",1280,74865
Flush: KJ542,"ranks=K,J,5,4,2",1016,75110
Flush: KQ632,"ranks=K,Q,6,3,2",930,75702
Flush: J8652,"ranks=J,8,6,5,2",1456,75922
Flush: JT932,"ranks=J,T,9,3,2",1373,76038
Flush: T8743,"ranks=T,8,7,4,3",1520,76245
Flush: Q9742,"ranks=Q,9,7,4,2",1307,76570
Flush: A8642,"ranks=A,8,6,4,2",796,76670
Flush: K9642,"ranks=K,9,6,4,2",1104,77330
Flush: QT642,"ranks=Q,T,6,4,2",1278,78430
Flush: AJ632,"ranks=A,J,6,3,2",686,78474
Flush: K7643,"ranks=K,7,6,4,3",1133,79365
Flush: A9832,"ranks=A,9,8,3,2",761,79458
Flush: T9752,"ranks=T,9,7,5,2",1499,79534
Flush: KQ542,"ranks=K,Q,5,4,2",932,80290
Flush: Q8652,"ranks=Q,8,6,5,2",1331,81158
Flush: QT932,"ranks=Q,T,9,3,2",1248,81282
Flush: J8643,"ranks=J,8,6,4,3",1457,81345
Flush: K8742,"ranks=K,8,7,4,2",1118,81770
Flush: A9543,"ranks=A,9,5,4,3",778,81795
Flush: A7652,"ranks=A,7,6,5,2",804,82082
Flush: AJ542,"ranks=A,J,5,4,2",688,83230
Flush: KJ732,"ranks=K,J,7,3,2",1008,83694
Flush: AQ632,"ranks=A,Q,6,3,2",602,83886
Flush: J9652,"ranks=J,9,6,5,2",1436,84854
Straight Flush to 8,"ranks=4,5,6,7,8",7,85085
Flush: T9743,"ranks=T,9,7,4,3",1500,85215
Flush: A9642,"ranks=A,9,6,4,2",776,85690
Flush: JT742,"ranks=J,T,7,4,2",1397,86710
Flush: KT832,"ranks=K,T,8,3,2",1054,86802
Flush: Q8643,"ranks=Q,8,6,4,3",1332,86955
Flush: J7653,"ranks=J,7,6,5,3",1465,87087
Flush: A7643,"ranks=A,7,6,4,3",805,87945
Flush: 98753,"ranks=9,8,7,5,3",1552,88179
Flush: AQ542,"ranks=A,Q,5,4,2",604,88970
Flush: KT543,"ranks=K,T,5,4,3",1071,89355
Flush: KQ732,"ranks=K,Q,7,3,2",924,89466
Flush: J8752,"ranks=J,8,7,5,2",1450,89726
Flush: T8653,"ranks=T,8,6,5,3",1524,90321
Flush: A8742,"ranks=A,8,7,4,2",790,90610
Flush: Q9652,"ranks=Q,9,6,5,2",1311,90706
Flush: J9643,"ranks=J,9,6,4,3",1437,90915
Flush: K9742,"ranks=K,9,7,4,2",1098,91390
Flush: QJ832,"ranks=Q,J,8,3,2",1207,91698
Flush: 98762,"ranks=9,8,7,6,2",1550,92378
Flush: QT742,"ranks=Q,T,7,4,2",1272,92690
Flush: AJ732,"ranks=A,J,7,3,2",680,92742
Flush: Q7653,"ranks=Q,7,6,5,3",1340,93093
Flush: KT642,"ranks=K,T,6,4,2",1069,93610
Flush: J9842,"ranks=J,9,8,4,2",1422,93670
Flush: QJ543,"ranks=Q,J,5,4,3",1224,94395
Flush: 97654,"ranks=9,7,6,5,4",1567,95095
Flush: Q8752,"ranks=Q,8,7,5,2",1325,95914
Flush: J8743,"ranks=J,8,7,4,3",1451,96135
Flush: AT832,"ranks=A,T,8,3,2",726,96186
Flush: K8652,"ranks=K,8,6,5,2",1122,96866
Flush: KT932,"ranks=K,T,9,3,2",1039,97014
Flush: Q9643,"ranks=Q,9,6,4,3",1312,97185
Flush: QJ642,"ranks=Q,J,6,4,2",1222,98890
Flush: AT543,"ranks=A,T,5,4,3",743,99015
Flush: AQ732,"ranks=A,Q,7,3,2",596,99138
Flush: AK632,"ranks=A,K,6,3,2",482,100122
Flush: Q9842,"ranks=Q,9,8,4,2",1297,100130
Flush: J9752,"ranks=J,9,7,5,2",1430,100282
Flush: T9653,"ranks=T,9,6,5,3",1504,100947
Flush: A9742,"ranks=A,9,7,4,2",770,101270
Flush: QJ932,"ranks=Q,J,9,3,2",1192,102486
Flush: JT652,"ranks=J,T,6,5,2",1401,102718
Flush: Q8743,"ranks=Q,8,7,4,3",1326,102765
Flush: AT642,"ranks=A,T,6,4,2",741,103730
Flush: K8643,"ranks=K,8,6,4,3",1123,103785
Flush: T9852,"ranks=T,9,8,5,2",1489,104006
Flush: AK542,"ranks=A,K,5,4,2",484,106190
Flush: T8753,"ranks=T,8,7,5,3",1518,106743
Flush: Q9752,"ranks=Q,9,7,5,2",1305,107198
Flush: A8652,"ranks=A,8,6,5,2",794,107338
Flush: J9743,"ranks=J,9,7,4,3",1431,107445
Flush: AT932,"ranks=A,T,9,3,2",711,107502
Flush: K9652,"ranks=K,9,6,5,2",1102,108262
Flush: KJ832,"ranks=K,J,8,3,2",998,109446
Flush: QT652,"ranks=Q,T,6,5,2",1276,109802
Flush: JT643,"ranks=J,T,6,4,3",1402,110055
Flush: KT742,"ranks=K,T,7,4,2",1063,110630
Flush: K7653,"ranks=K,7,6,5,3",1131,111111
Flush: T9843,"ranks=T,9,8,4,3",1490,111435
Flush: T8762,"ranks=T,8,7,6,2",1516,111826
Flush: KJ543,"ranks=K,J,5,4,3",1015,112665
Flush: JT842,"ranks=J,T,8,4,2",1387,113390
Flush: J8653,"ranks=J,8,6,5,3",1455,113883
Flush: K8752,"ranks=K,8,7,5,2",1116,114478
Flush: Q9743,"ranks=Q,9,7,4,3",1306,114855
Flush: A8643,"ranks=A,8,6,4,3",795,115005
Flush: T7654,"ranks=T,7,6,5,4",1533,115115
Flush: K9643,"ranks=K,9,6,4,3",1103,115995
Flush: QJ742,"ranks=Q,J,7,4,2",1216,116870
Flush: KQ832,"ranks=K,Q,8,3,2",914,116994
Flush: QT643,"ranks=Q,T,6,4,3",1277,117645
Flush: KJ642,"ranks=K,J,6,4,2",1013,118030
Flush: AK732,"ranks=A,K,7,3,2",476,118326
Flush: T9753,"ranks=T,9,7,5,3",1498,119301
Flush: K9842,"ranks=K,9,8,4,2",1088,119510
Flush: A9652,"ranks=A,9,6,5,2",774,119966
Flush: KQ543,"ranks=K,Q,5,4,3",931,120435
Flush: QT842,"ranks=Q,T,8,4,2",1262,121210
Flush: AJ832,"ranks=A,J,8,3,2",670,121278
Flush: JT752,"ranks=J,T,7,5,2",1395,121394
Flush: Q8653,"ranks=Q,8,6,5,3",1330,121737
Flush: KJ932,"ranks=K,J,9,3,2",983,122322
Flush: AT742,"ranks=A,T,7,4,2",735,122590
Flush: K8743,"ranks=K,8,7,4,3",1117,122655
Flush: A7653,"ranks=A,7,6,5,3",803,123123
Flush: QJT32,"ranks=Q,J,T,3,2",1171,124062
Flush: 98654,"ranks=9,8,6,5,4",1557,124355
Flush: AJ543,"ranks=A,J,5,4,3",687,124845
Flush: T9762,"ranks=T,9,7,6,2",1496,124982
Flush: KQ642,"ranks=K,Q,6,4,2",929,126170
Flush: JT942,"ranks=J,T,9,4,2",1372,126730
Flush: A8752,"ranks=A,8,7,5,2",788,126854
Flush: J9653,"ranks=J,9,6,5,3",1435,127281
Flush: K9752,"ranks=K,9,7,5,2",1096,127946
Flush: A9643,"ranks=A,9,6,4,3",775,128535
Flush: AQ832,"ranks=A,Q,8,3,2",586,129642
Flush: QT752,"ranks=Q,T,7,5,2",1270,129766
Flush: JT743,"ranks=J,T,7,4,3",1396,130065
Flush: KQ932,"ranks=K,Q,9,3,2",899,130758
Flush: AJ642,"ranks=A,J,6,4,2",685,130790
Flush: KT652,"ranks=K,T,6,5,2",1067,131054
Flush: J9852,"ranks=J,9,8,5,2",1420,131138
Flush: A9842,"ranks=A,9,8,4,2",760,132430
Flush: AQ543,"ranks=A,Q,5,4,3",603,133455
Flush: J8753,"ranks=J,8,7,5,3",1449,134589
Flush: QT942,"ranks=Q,T,9,4,2",1247,135470
Flush: AJ932,"ranks=A,J,9,3,2",655,135546
Flush: A8743,"ranks=A,8,7,4,3",789,135915
Flush: Q9653,"ranks=Q,9,6,5,3",1310,136059
Flush: K9743,"ranks=K,9,7,4,3",1097,137085
Flush: QJ652,"ranks=Q,J,6,5,2",1220,138446
Flush: 98763,"ranks=9,8,7,6,3",1549,138567
Flush: QT743,"ranks=Q,T,7,4,3",1271,139035
Flush: KJ742,"ranks=K,J,7,4,2",1007,139490
Flush: AQ642,"ranks=A,Q,6,4,2",601,139810
Flush: Q9852,"ranks=Q,9,8,5,2",1295,140182
Flush: KT643,"ranks=K,T,6,4,3",1068,140415
Flush: J9843,"ranks=J,9,8,4,3",1421,140505
Flush: J8762,"ranks=J,8,7,6,2",1447,140998
Flush: A9752,"ranks=A,9,7,5,2",768,141778
Flush: Q8753,"ranks=Q,8,7,5,3",1324,143871
Flush: KT842,"ranks=K,T,8,4,2",1053,144670
Flush: AQ932,"ranks=A,Q,9,3,2",571,144894
Flush: J7654,"ranks=J,7,6,5,4",1464,145145
Flush: AT652,"ranks=A,T,6,5,2",739,145222
Flush: K8653,"ranks=K,8,6,5,3",1121,145299
Flush: 98754,"ranks=9,8,7,5,4",1551,146965
Flush: KJT32,"ranks=K,J,T,3,2",962,148074
Flush: QJ643,"ranks=Q,J,6,4,3",1221,148335
Flush: KQ742,"ranks=K,Q,7,4,2",923,149110
Flush: Q9843,"ranks=Q,9,8,4,3",1296,150195
Flush: J9753,"ranks=J,9,7,5,3",1429,150423
Flush: T8654,"ranks=T,8,6,5,4",1523,150535
Flush: Q8762,"ranks=Q,8,7,6,2",1322,150722
Flush: A9743,"ranks=A,9,7,4,3",769,151905
Flush: QJ842,"ranks=Q,J,8,4,2",1206,152830
Flush: JT653,"ranks=J,T,6,5,3",1400,154077
Flush: AJ742,"ranks=A,J,7,4,2",679,154570
Flush: AK832,"ranks=A,K,8,3,2",466,154734
Flush: KT752,"ranks=K,T,7,5,2",1061,154882
Flush: Q7654,"ranks=Q,7,6,5,4",1339,155155
Flush: AT643,"ranks=A,T,6,4,3",740,155595
Flush: T9853,"ranks=T,9,8,5,3",1488,156009
Flush: J9762,"ranks=J,9,7,6,2",1427,157586
Flush: KQT32,"ranks=K,Q,T,3,2",878,158286
Flush: JT852,"ranks=J,T,8,5,2",1385,158746
Flush: AK543,"ranks=A,K,5,4,3",483,159285
Flush: AT842,"ranks=A,T,8,4,2",725,160310
Flush: Q9753,"ranks=Q,9,7,5,3",1304,160797
Flush: A8653,"ranks=A,8,6,5,3",793,161007
Flush: KT942,"ranks=K,T,9,4,2",1038,161690
Flush: K9653,"ranks=K,9,6,5,3",1101,162393
Flush: T9862,"ranks=T,9,8,6,2",1486,163438
Flush: QJ752,"ranks=Q,J,7,5,2",1214,163618
Flush: AJT32,"ranks=A,J,T,3,2",634,164082
Flush: QT653,"ranks=Q,T,6,5,3",1275,164703
Flush: AQ742,"ranks=A,Q,7,4,2",595,165230
Flush: KJ652,"ranks=K,J,6,5,2",1011,165242
Flush: KT743,"ranks=K,T,7,4,3",1062,165945
Flush: AK642,"ranks=A,K,6,4,2",481,166870
Flush: K9852,"ranks=K,9,8,5,2",1086,167314
Flush: T8763,"ranks=T,8,7,6,3",1515,167739
Flush: T9654,"ranks=T,9,6,5,4",1503,168245
Flush: Q9762,"ranks=Q,9,7,6,2",1302,168454
Flush: QT852,"ranks=Q,T,8,5,2",1260,169694
Flush: JT843,"ranks=J,T,8,4,3",1386,170085
Flush: QJ942,"ranks=Q,J,9,4,2",1191,170810
Flush: AT752,"ranks=A,T,7,5,2",733,171626
Flush: K8753,"ranks=K,8,7,5,3",1115,171717
Flush: AK932,"ranks=A,K,9,3,2",451,172938
Flush: QJ743,"ranks=Q,J,7,4,3",1215,175305
Flush: AQT32,"ranks=A,Q,T,3,2",550,175398
Flush: KQ652,"ranks=K,Q,6,5,2",927,176638
Flush: KJ643,"ranks=K,J,6,4,3",1012,177045
Flush: JT952,"ranks=J,T,9,5,2",1370,177422
Flush: T8754,"ranks=T,8,7,5,4",1517,177905
